Model,Accuracy,Precision,ROC AUC Score
RandomForest,0.798106937871312,0.6369746842783223,0.48909661878611566
DecisionTree,0.7869298157285268,0.6720246009661082,0.501584670672549
XGBoost,0.798106937871312,0.6369746842783223,0.488854667519946
LightGBM,0.798106937871312,0.6369746842783223,0.488854667519946
