0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
257,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,516,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,3,482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,15,457,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,43,436,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,31,420,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,3,35,408,34,5,1,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,10,51,398,32,2,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,25,94,318,32,7,6,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,3,28,67,343,51,13,6,1,0,0,0,0,0,0,0
0,0,0,0,0,0,1,4,14,69,261,93,19,5,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,10,59,356,79,19,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,3,5,47,326,108,6,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1,19,384,53,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,17,470,30,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,18,474,34,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,465,23,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,495,2,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,522,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,482,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,242
