0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
261,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,514,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,486,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,493,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,483,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,513,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,466,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,2,521,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1,494,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,457,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,517,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,527,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,499,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,506,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,524,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,483,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,242
