0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
261,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,522,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,4,474,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,28,440,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,28,439,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,6,51,352,53,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,47,419,15,1,3,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,8,44,411,29,1,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,3,10,49,362,44,13,2,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,12,77,355,62,6,0,1,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,10,73,313,53,14,2,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,19,94,308,88,9,5,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,7,10,64,297,100,17,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,7,36,352,61,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1,5,25,426,55,5,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1,23,459,44,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,458,28,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,492,7,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,511,10,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,480,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,231
