Model,Accuracy,Precision,ROC AUC Score
RandomForest,0.7286275299567012,0.8036518519492115,0.6420476602702834
DecisionTree,0.7221830631356358,0.7243468749471966,0.6251799403645457
XGBoost,0.7286275299567012,0.8036518519492115,0.6346511325926995
LightGBM,0.7286275299567012,0.8036518519492115,0.6346511325926995
